packetNo,delay,isWrong,repeats
895,76,0,0
896,88,0,0
897,83,0,0
898,82,0,0
899,88,0,0
900,79,0,0
901,168,1,1
902,83,0,0
903,86,0,0
904,84,0,0
905,86,0,0
906,84,0,0
907,80,0,0
908,85,0,0
909,168,1,1
910,90,0,0
911,79,0,0
912,86,0,0
913,83,0,0
914,87,0,0
915,162,1,1
916,87,0,0
917,82,0,0
918,169,1,1
919,82,0,0
920,88,0,0
921,79,0,0
922,85,0,0
923,89,0,0
924,81,0,0
925,84,0,0
926,79,0,0
927,246,1,2
928,168,1,1
929,87,0,0
930,84,0,0
931,82,0,0
932,88,0,0
933,82,0,0
934,88,0,0
935,80,0,0
936,79,0,0
937,95,0,0
938,81,0,0
939,91,0,0
940,98,0,0
941,87,0,0
942,87,0,0
943,87,0,0
944,85,0,0
945,167,1,1
946,90,0,0
947,82,0,0
948,87,0,0
949,79,0,0
950,82,0,0
951,85,0,0
952,79,0,0
953,84,0,0
954,84,0,0
955,88,0,0
956,89,0,0
957,88,0,0
958,167,1,1
959,82,0,0
960,85,0,0
961,80,0,0
962,90,0,0
963,81,0,0
964,81,0,0
965,92,0,0
966,82,0,0
967,173,1,1
968,81,0,0
969,87,0,0
970,81,0,0
971,84,0,0
972,81,0,0
973,80,0,0
974,90,0,0
975,338,1,3
976,185,1,1
977,86,0,0
978,161,1,1
979,171,1,1
980,87,0,0
981,169,1,1
982,90,0,0
983,81,0,0
984,87,0,0
985,80,0,0
986,82,0,0
987,84,0,0
988,81,0,0
989,173,1,1
990,79,0,0
991,87,0,0
992,81,0,0
993,99,0,0
994,80,0,0
995,77,0,0
996,88,0,0
997,80,0,0
998,87,0,0
999,82,0,0
1000,82,0,0
1001,87,0,0
1002,85,0,0
1003,83,0,0
1004,80,0,0
1005,81,0,0
1006,88,0,0
1007,83,0,0
1008,88,0,0
1009,85,0,0
1010,80,0,0
1011,87,0,0
1012,79,0,0
1013,87,0,0
1014,80,0,0
1015,81,0,0
1016,86,0,0
1017,248,1,2
1018,81,0,0
1019,169,1,1
1020,85,0,0
1021,160,1,1
1022,86,0,0
1023,171,1,1
1024,82,0,0
1025,84,0,0
1026,88,0,0
1027,169,1,1
1028,82,0,0
1029,84,0,0
1030,86,0,0
1031,85,0,0
1032,92,0,0
1033,84,0,0
1034,170,1,1
1035,81,0,0
1036,88,0,0
1037,83,0,0
1038,82,0,0
1039,86,0,0
1040,87,0,0
1041,86,0,0
1042,85,0,0
1043,165,1,1
1044,81,0,0
1045,89,0,0
1046,82,0,0
1047,82,0,0
1048,84,0,0
1049,80,0,0
1050,90,0,0
1051,172,1,1
1052,86,0,0
1053,335,1,3
1054,89,0,0
1055,83,0,0
1056,85,0,0
1057,80,0,0
1058,81,0,0
1059,84,0,0
1060,169,1,1
1061,84,0,0
1062,88,0,0
1063,90,0,0
1064,78,0,0
1065,88,0,0
1066,84,0,0
1067,82,0,0
1068,87,0,0
1069,88,0,0
1070,92,0,0
1071,90,0,0
1072,81,0,0
1073,175,1,1
1074,86,0,0
1075,81,0,0
1076,83,0,0
1077,88,0,0
1078,82,0,0
1079,84,0,0
1080,165,1,1
1081,88,0,0
1082,81,0,0
1083,88,0,0
1084,162,1,1
1085,85,0,0
1086,85,0,0
1087,171,1,1
1088,80,0,0
1089,87,0,0
1090,82,0,0
1091,90,0,0
1092,81,0,0
1093,82,0,0
1094,176,1,1
1095,87,0,0
1096,167,1,1
1097,85,0,0
1098,171,1,1
1099,83,0,0
1100,80,0,0
1101,87,0,0
1102,84,0,0
1103,88,0,0
1104,79,0,0
1105,82,0,0
1106,89,0,0
1107,92,0,0
1108,97,0,0
1109,93,0,0
1110,90,0,0
1111,98,0,0
1112,91,0,0
1113,98,0,0
1114,88,0,0
1115,90,0,0
1116,108,0,0
1117,94,0,0
1118,99,0,0
1119,91,0,0
1120,94,0,0
1121,99,0,0
1122,91,0,0
1123,100,0,0
1124,87,0,0
1125,96,0,0
1126,187,1,1
1127,103,0,0
1128,91,0,0
1129,107,0,0
1130,103,0,0
1131,95,0,0
1132,96,0,0
1133,186,1,1
1134,96,0,0
1135,85,0,0
1136,90,0,0
1137,83,0,0
1138,81,0,0
1139,170,1,1
1140,86,0,0
1141,84,0,0
1142,168,1,1
1143,83,0,0
1144,89,0,0
1145,84,0,0
1146,86,0,0
1147,88,0,0
1148,91,0,0
1149,88,0,0
1150,91,0,0
1151,81,0,0
1152,86,0,0
1153,81,0,0
1154,171,1,1
1155,90,0,0
1156,165,1,1
1157,93,0,0
1158,87,0,0
1159,84,0,0
1160,87,0,0
1161,84,0,0
1162,86,0,0
1163,84,0,0
1164,81,0,0
1165,93,0,0
1166,82,0,0
1167,254,1,2
1168,169,1,1
1169,84,0,0
1170,84,0,0
1171,79,0,0
1172,86,0,0
1173,82,0,0
1174,85,0,0
1175,80,0,0
1176,85,0,0
1177,84,0,0
1178,81,0,0
1179,88,0,0
1180,157,1,1
1181,173,1,1
1182,86,0,0
1183,80,0,0
1184,80,0,0
1185,89,0,0
1186,81,0,0
1187,88,0,0
1188,80,0,0
1189,167,1,1
1190,169,1,1
1191,81,0,0
1192,77,0,0
1193,90,0,0
1194,104,0,0
1195,109,0,0
1196,105,0,0
1197,114,0,0
1198,106,0,0
1199,107,0,0
1200,109,0,0
1201,102,0,0
1202,103,0,0
1203,216,1,1
1204,213,1,1
1205,216,1,1
1206,105,0,0
1207,113,0,0
1208,101,0,0
1209,103,0,0
1210,112,0,0
1211,208,1,1
1212,102,0,0
1213,106,0,0
1214,115,0,0
1215,100,0,0
1216,207,1,1
1217,102,0,0
1218,110,0,0
1219,102,0,0
1220,109,0,0
1221,79,0,0
1222,84,0,0
1223,89,0,0
1224,168,1,1
1225,80,0,0
1226,81,0,0
1227,165,1,1
1228,173,1,1
1229,78,0,0
1230,88,0,0
1231,83,0,0
1232,85,0,0
1233,81,0,0
1234,85,0,0
1235,87,0,0
1236,80,0,0
1237,86,0,0
1238,82,0,0
1239,79,0,0
1240,90,0,0
1241,79,0,0
1242,172,1,1
1243,82,0,0
1244,86,0,0
1245,82,0,0
1246,87,0,0
1247,79,0,0
1248,79,0,0
1249,92,0,0
1250,169,1,1
1251,80,0,0
1252,171,1,1
1253,82,0,0
1254,165,1,1
1255,81,0,0
1256,166,1,1
1257,90,0,0
1258,89,0,0
1259,82,0,0
1260,84,0,0
1261,81,0,0
1262,85,0,0
1263,81,0,0
1264,89,0,0
1265,86,0,0
1266,82,0,0
1267,86,0,0
1268,79,0,0
1269,78,0,0
1270,86,0,0
1271,167,1,1
1272,81,0,0
1273,80,0,0
1274,86,0,0
